א	אַלעף
ארץ־ישׂראל־פֿעדעם	ערעץ־ייִשׂראָעל־פֿעדעם
אָרצה	אָרצעה
אַררט	אַראָראַט
אש להבֿה	אייש לעהאָבֿעה
אש־להבֿה	אייש־לעהאָבֿעה
אַשור	אַשור
אַשכּנז	אַשכּענאַז
אַשכּנזי	אַשכּענאַזי
אַשכּנזים	אַשכּענאַזים
אַשכּנזיש	אַשכּענאַזיש
אַשכּנזער	אַשכּענאַזער
אַשמדאַי	אַשמעדײַ
אַשמורה	אַשמוירעה
אָשמנו	אָשאַמנו
אָשמנו בגדנו גזלנו	אָשאַמנו באָגאַדנו גאָזאַלנו
אַשפּה	אַשפּעה
אָשר	אָשער
אַשר לא …ו אַבֿותנו	אַשער לוי …ו אַווויתיינו
אַשר יצר	אַשער יאָצער
אַשר־יצר	אַשער־יאָצער
אַשר יצר פּאַפּיר	אַשעריאָצער פּאַפּיר
אַשר־יצר־פּאַפּיר	אַשעריאָצער־פּאַפּיר
אַשר יצרל	אַשער יאָצערל
אַשר־יצרל	אַשער־יאָצערל
אַשרי	אַשריי
אַשרי המאמין	אַשריי האַמײַמען
אָשרן	אָשערן
אָשרס	אָשערס
אשת איש	איישעת איש
אשת־איש	איישעת־איש
אשת אישניצע	איישעת אישניצע
אשת־אישניצע	איישעת־אישניצע
אשת אישניצעס	איישעת אישניצעס
אשת־אישניצעס	איישעת־אישניצעס
אשת אישניק	איישעת אישניק
אשת־אישניק	איישעת־אישניק
אשת אישניקעס	איישעת אישניקעס
אשת־אישניקעס	איישעת־אישניקעס
אשת חיל	איישעת חאַיִל
אשת־חיל	איישעת־חאַיִל
אַתּה	אַתּאָ,אַתּעה
אַתּה בחרתּנו	אַתּאָ בעחאַרתּאָנו
אַתּה־בחרתּנו	אַתּאָ־בעחאַרתּאָנו
אַתּה בחרתּנוניק	אַתּאָ בעחאַרתּאָנוניק
אַתּה־בחרתּנוניק	אַתּאָ־בעחאַרתּאָנוניק
אַתּה בחרתּנוניקעס	אַתּאָ בעחאַרתּאָנוניקעס
אַתּה־בחרתּנוניקעס	אַתּאָ־בעחאַרתּאָנוניקעס
אַתּה בֿחרתּנו	אַתּאָ בֿעחאַרתּאָנו
אַתּה־בֿחרתּנו	אַתּאָ־בֿעחאַרתּאָנו
אַתּה הראית	אַתּאָ האָרייסאָ
אַתּה־הראית	אַתּאָ־האָרייסאָ
אַתּה הראיתלע	אַתּאָ האָרייסאָלע
אַתּה־הראיתלע	אַתּאָ־האָרייסאָלע
אַתחלתּא דגאולה	אַתחאַלתּע דעגעולעה
אַתחלתּא־דגאולה	אַתחאַלתּע־דעגעולעה
אתרוג	עתרעג
אתרוגים	עתרויגים
אתרוגל	עתרעגל
ב…	באַ…,בי…,בע…
ב	בייז,בייס
בא	בוי
באַדמען	באַדאַמען
באַהבֿה	בעאַהאַבֿעה
באָו מים עד נפֿש	באָו מאַיִם אַד נעפֿעש
באונס	בעוינעס
באופֿן	בעויפֿן
באותה שעה	בעויתע שאָה
באותה־שעה	בעויתע־שאָה
באותו הרגע	בעויתע האַרעגע
באותו־הרגע	בעויתע־האַרעגע
באותו מעמד	בעויתע מײַמעד
באותו־מעמד	בעויתע־מײַמעד
באותו רגע	בעויתע רעגע
באותו־רגע	בעויתע־רעגע
באָזני שמעתּי	באָזנײַ שאָמאַטי,בעאָזנײַ שאָמאַתּי
באַחנט	באַחיינט
באַטעמט	באַטאַמט
באין אופֿן	בעיין אויפֿן
באין־אופֿן	בעיין־אויפֿן
באין ברירה	בעיין בריירעה
באין־ברירה	בעיין־בריירעה
באיסור	בעיִסער
באַכילה	באַאַכילעה
באַלכסון	באַלאַכסן
באלף מחילות	בעעלעף מעחילעת
באלף־מחילות	בעעלעף־מעחילעת
באם	בעיִם
באמונה	בעעמונעה
באמונה שלמה	בעעמונע שליימעה
באמונה־שלמה	בעעמונע־שליימעה
באמונתי	בעעמונאָתי
באמת	בעעמעת
באַעוולען	באַאַוולען
באַריכות	באַריכעת
באשר	באַנשער,באַשער
באשר בכן	באַנשער בעכיין,באַשער בעכיין
באשר־בכן	באַנשער־בעכיין,באַשער־בעכיין
בבֿא בתרא	באָבֿע באַתרע
בבֿא־בתרא	באָבֿע־באַתרע
בבֿא מעשׂה	באָבע מײַסע,באָווע מײַשׂעה
בבֿא־מעשׂה	באָבע־מײַסע,באָווע־מײַשׂעה
בבֿא מציעא	באָבֿע מעציִע
בבֿא־מציעא	באָבֿע־מעציִע
בבֿא קמא	באָבֿע קאַמע
בבֿא־קמא	באָבֿע־קאַמע
בבֿחינת	ביפֿחינעת
בבֿל	באָבֿל
בבֿל סחורה	באָבֿל סחוירעה
בבֿל־סחורה	באָבֿל־סחוירעה
בבֿל קונה	באָבֿל קוינעה
בבֿל־קונה	באָבֿל־קוינעה
בבֿל קונים	באָבֿל קוינים
בבֿל־קונים	באָבֿל־קוינים
בבֿלי	באַבֿלי
בבֿת אַחת	בעבֿאַת אַחעת
בבֿת־אַחת	בעבֿאַת־אַחעת
בגד	בעגעד
בגדי דלות	ביגדע דאַלעת
בגדי־דלות	ביגדע־דאַלעת
בגדי יום טובֿ	ביגדע יאָנטעוו
בגדי־יום־טובֿ	ביגדע־יאָנטעוו
בגדי כּהונה	ביגדע כּעהונעה
בגדי־כּהונה	ביגדע־כּעהונעה
בגדי מלכות	ביגדע מאַלכעת
בגדי־מלכות	ביגדע־מאַלכעת
בגדי משי	ביגדע מעשי
בגדי־משי	ביגדע־מעשי
בגדי שבת	ביגדע שאַבעת
בגדי־שבת	ביגדע־שאַבעת
בגדים	בעגאָדים
בגדנו	באָגאַדנו
בגזלה	ביגזיילעה
בגזרת־	ביגזיירעת
בגידה	בגידעה
בגידה במלכות	בגידע בעמאַלכעת
בגידה־במלכות	בגידע־בעמאַלכעת
בגילה ברינה	בעגילע בערינעה
בגילוי	בעגילע
בגילוי ראָש	בעגילע ראָש
בגילוי־ראָש	בעגילע־ראָש
בגילופֿין	בעגילופֿן
בגימטריא	בעגימאַטריע
בגימטריה	בעגימאַטריעה
בגלוי	בעגאָלע
בגנבֿה	ביגנייבֿעה
בגפּו יבֿוא בגפּו יצא	בעגאַפּע יאָווע בעגאַפּע יייצע
בדוחק	בעדויחעק
בדוק ומנוסה	באָדעק אומענוסעה
בדוק־ומנוסה	באָדעק־אומענוסעה
בדחילו ורחימו	ביטחילע אורחימע
בדחילו־ורחימו	ביטחילע־אורחימע
בדחן	באַדחן,באַטכן
בדחנות	באַדחאָנעת,באַטכאָנעת
בדחנים	באַדחאָנים,באַטכאָנים
בדחניש	באַדחאָניש,באַטכאָניש
בדחנען	באַדחענען,באַטכענען
בדידי הווה עובֿדה	בעדידי האַווע אוּוודעה
בדיוק	בעדיִעק
בדיל־דל	בעדילאַדאַל
בדיל־הדל	בעדילאַדאַל
בדיעבֿד	בעדיִעבֿעד
בדיקה	בדיקעה
בדיקת חמץ	בדיקעת חאָמעץ
בדיקת־חמץ	בדיקעת־חאָמעץ
בדלות	בעדאַלעת
בדליכּאָ	בידעלייכּאָ
בדמיך חיי	בעדאָמאַיִך חאַיִ
בדמעות שליש	בידמאָעת שאָלעש
בדמעות־שליש	בידמאָעת־שאָלעש
בדעה	בעדייעה
בדעה אַחת	בעדייע אַחעת
בדעה־אַחת	בעדייע־אַחעת
בדעת	בעדאַת
בדק הבית	בעדעק האַבאַיִת
בדק־הבית	בעדעק־האַבאַיִת
בדקען	באַטקען
בדקענען	באַטקענען
בדרך אַגבֿ	בעדערעך אַגעבֿ
בדרך־אַגבֿ	בעדערעך־אַגעבֿ
בדרך גוזמא	בעדערעך גוזמע
בדרך־גוזמא	בעדערעך־גוזמע
בדרך הטבֿע	בעדערעך האַטעווע
בדרך־הטבֿע	בעדערעך־האַטעווע
בדרך הלצה	בעדערעך האַלאָצעה
בדרך־הלצה	בעדערעך־האַלאָצעה
בדרך כּלל	בעדערעך כּלאַל
בדרך־כּלל	בעדערעך־כּלאַל
בדרך משל	בעדערעך מאָשל
בדרך־משל	בעדערעך־מאָשל
בדרך נס	בעדערעך נעס
בדרך־נס	בעדערעך־נעס
בהבֿל פּיהם	בעהעבֿל פּיהעם
בהבֿל־פּיהם	בעהעבֿל־פּיהעם
בהדרגה	בעהאַדראָגעה
בהיסח הדעת	בעהעסעח האַדאַאַת
בהיסח־הדעת	בעהעסעח־האַדאַאַת
בהיתּר	בעהעתּער
בהכנעה	בעהאַכנאָעה
בהכרח	בעהעכרעח
בהלה	בעהאָלעה
בהלוואה	בעהאַלוואָעה
בהמה	בעהיימעה
בהמה בצורת אָדם	בעהיימע בעצורעת אָדעם
בהמה בצורת־אָדם	בעהיימע בעצורעת־אָדעם
בהמה גסה	בעהיימע גאַסעה
בהמה־גסה	בעהיימע־גאַסעה
בהמה דקה	בעהיימע דאַקעה
בהמה־דקה	בעהיימע־דאַקעה
בהמהלע	בעהיימעלע
בהמהלעך	בעהיימעלעך
בהמות	בעהיימעת
בהן צידקי	בעהען צידקי
בהן־צידקי	בעהען־צידקי
בהן שלי	בעהען שעלי
בהן־שלי	בעהען־שעלי
בהסכּם	בעהעסכּעם
בהסכּם כּולם	בעהעסכּעם כּולעם
בהסכּם־כּולם	בעהעסכּעם־כּולעם
בהעלותך	בעהאַאַלויתכע
בהקיץ	בעהאָקעץ
בהקפֿה	בעהאַקאָפֿעה
בהר	בעהאַר
בהרחבֿה	בעהאַרחאָבֿעה
בהתמדה	בעהאַתמאָדעה
בוגד	בויגעד
בוגדים	באָגדים
בוגר	בויגער
בוגרים	באָגרים
בוגרת	באָגרעת
בודק	בוידעק
בודק חמץ	בוידעק חאָמעץ
בודק־חמץ	בוידעק־חאָמעץ
בוודאי	בעוואַדע
בוחר	בויחער
בולט	בוילעט
בועה	בוּעה
בועז	בויעז
בועל	בויעל
בוקע רקיעים	בויקייע רעקיִיִם
בוקע־רקיעים	בויקייע־רעקיִיִם
בור	בור
בור דאורײַתא	בור דעוירײַתאָ,בורים דעוירײַסאָ
בור־דאורײַתא	בור־דעוירײַתאָ,בורים־דעוירײַסאָ
בור סוד	באָר סוד
בור־סוד	באָר־סוד
בורא	בוירע
בורא מאורי האש	בוירע מעוירע האָייש
בורא־מאורי־האש	בוירע־מעוירע־האָייש
בורא עולם	בוירע אוילעם
בורא־עולם	בוירע־אוילעם
בורא פּרי האַדמה	בוירע פּרי האָאַדאָמעה
בורא־פּרי־האַדמה	בוירע־פּרי־האָאַדאָמעה
בורא פּרי הגפֿן	בוירע פּרי האַגאָפֿן
בורא־פּרי־הגפֿן	בוירע־פּרי־האַגאָפֿן
בורח	בוירייעח
בורחים	באָרחים
בורים	בורים
בורר	בוירער
בוררות	באָרערעת
בוררים	באָרערים
בושה	בושעה
בושת פּנים	בוישעת פּאָנעם
בושת־פּנים	בוישעת־פּאָנעם
בושת פּנימער	בוישעת פּענעמער
בושת־פּנימער	בוישעת־פּענעמער
בזה ובֿבֿאָ	באַזע אוּוואַבֿאָ
בזה האופֿן	בעזע האָויפֿן
בזה־האופֿן	בעזע־האָויפֿן
בזה הלשון	בעזע האַלאָשן
בזה־הלשון	בעזע־האַלאָשן
בזוי	באָזע
בזויים	בזויִם
בזול	בעזאָל
בזי בזיון	ביזע ביזויען
בזי־בזיון	ביזע־ביזויען
בזי בזיונות	ביזע ביזיוינעת
בזי־בזיונות	ביזע־ביזיוינעת
בזיון	ביזויען
בזיונות	ביזיוינעת
בזיל הזול	בעזיל האַזאָל
בזיל־הזול	בעזיל־האַזאָל
בזיל זול	בעזיל זאָל
בזיל־זול	בעזיל־זאָל
בזכות	ביסכות
בזכות זה	ביסכות זעה
בזכות־זה	ביסכות־זעה
בזעיר אַנפּין	ביזייר אַנפּין
בזעיר־אַנפּין	ביזייר־אַנפּין
בזעת אַפּיך	בעזייעת אַפּעכאָ
בזעת־אַפּיך	בעזייעת־אַפּעכאָ
בחבֿרותא	בעחאַבֿרותע
בחדר״ג	בעחאַדראַג
בחדרי חדרים	בעחאַדרע חאַדאָרים
בחדרי־חדרים	בעחאַדרע־חאַדאָרים
בחומר ובֿלבֿנים	בעחוימער אוּווילבֿיינים
בחומר־ובֿלבֿנים	בעחוימער־אוּווילבֿיינים
בחור	באָחער
בחור הזעצער	באָחער האַזעצער
בחור־הזעצער	באָחער־האַזעצער
בחורווײַז	באָחערווײַז
בחורטע	באָחערטע
בחורים	באַחורים,באָכערים
בחורימלעך	באָחערימלעך
בחורל	באָחערל
בחורס	באָחערס
בחורעץ	באָחערעץ
בחוש	בעחוש
בחזקה	בעחאַזאָקעה
בחזקת־	בעחעסקעת
בחזרה	בעחאַזאָרעה
בחיי אבן פּקודה	בעחײַע עוון פּעקודעה
בחיי אבן־פּקודה	בעחײַע עוון־פּעקודעה
בחינה	בחינע,פּכינעה
בחינות	פּחינעת
בחינם	בעחינעם
בחיר	בחיר,פּכיר
בחירה	בחירע,פּכירעה
בחפּזון	בעחיפּאָזן
בחצי חינם	בעחאָצע חינעם
בחצי־חינם	בעחאָצע־חינעם
בחקותי	בעחוקויסײַ
בחרם	בעחיירעם
בחרפּה	בעחאַרפּעה
בחרפּתו	בעחאַרפּאָתע
בחשיבֿות	ביחשיוועת
בטבֿע	בעטעווע
